timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605526783871,924,Amazon HomePage,200,OK,Amazon_Thread group 1-12,text,true,,95659,391,30,30,https://www.amazon.com/,508,0,250
1605526783921,1029,Amazon HomePage,200,OK,Amazon_Thread group 1-13,text,true,,99576,391,33,33,https://www.amazon.com/,457,0,199
1605526783516,1435,Amazon HomePage,200,OK,Amazon_Thread group 1-5,text,true,,102655,391,33,33,https://www.amazon.com/,862,0,605
1605526783470,1482,Amazon HomePage,200,OK,Amazon_Thread group 1-4,text,true,,97837,391,33,33,https://www.amazon.com/,909,0,651
1605526783675,1280,Amazon HomePage,200,OK,Amazon_Thread group 1-8,text,true,,95482,391,33,33,https://www.amazon.com/,704,0,445
1605526783674,1282,Amazon HomePage,200,OK,Amazon_Thread group 1-7,text,true,,95745,391,33,33,https://www.amazon.com/,704,0,446
1605526783433,1524,Amazon HomePage,200,OK,Amazon_Thread group 1-1,text,true,,98329,391,33,33,https://www.amazon.com/,945,0,687
1605526784027,930,Amazon HomePage,200,OK,Amazon_Thread group 1-15,text,true,,98329,391,33,33,https://www.amazon.com/,351,0,94
1605526783572,1389,Amazon HomePage,200,OK,Amazon_Thread group 1-6,text,true,,98264,391,33,33,https://www.amazon.com/,807,0,549
1605526783433,1529,Amazon HomePage,200,OK,Amazon_Thread group 1-3,text,true,,105810,391,33,33,https://www.amazon.com/,945,0,688
1605526783767,1195,Amazon HomePage,200,OK,Amazon_Thread group 1-10,text,true,,103878,391,33,33,https://www.amazon.com/,611,0,356
1605526784177,873,Amazon HomePage,200,OK,Amazon_Thread group 1-18,text,true,,103452,391,35,35,https://www.amazon.com/,286,0,32
1605526784220,864,Amazon HomePage,200,OK,Amazon_Thread group 1-19,text,true,,98450,391,36,36,https://www.amazon.com/,280,0,33
1605526784270,858,Amazon HomePage,200,OK,Amazon_Thread group 1-20,text,true,,98881,391,37,37,https://www.amazon.com/,273,0,33
1605526784420,888,Amazon HomePage,200,OK,Amazon_Thread group 1-23,text,true,,95404,391,40,40,https://www.amazon.com/,302,0,47
1605526783719,1620,Amazon HomePage,200,OK,Amazon_Thread group 1-9,text,true,,96258,391,41,41,https://www.amazon.com/,1040,0,401
1605526783433,1906,Amazon HomePage,200,OK,Amazon_Thread group 1-2,text,true,,96563,391,41,41,https://www.amazon.com/,1320,0,687
1605526784469,870,Amazon HomePage,200,OK,Amazon_Thread group 1-24,text,true,,97455,391,41,41,https://www.amazon.com/,281,0,34
1605526784520,866,Amazon HomePage,200,OK,Amazon_Thread group 1-25,text,true,,98525,391,42,42,https://www.amazon.com/,281,0,34
1605526784121,1277,Amazon HomePage,200,OK,Amazon_Thread group 1-17,text,true,,103808,391,42,42,https://www.amazon.com/,302,0,61
1605526784571,874,Amazon HomePage,200,OK,Amazon_Thread group 1-26,text,true,,104450,391,43,43,https://www.amazon.com/,286,0,42
1605526784621,864,Amazon HomePage,200,OK,Amazon_Thread group 1-27,text,true,,105424,391,44,44,https://www.amazon.com/,276,0,35
1605526784319,1170,Amazon HomePage,200,OK,Amazon_Thread group 1-21,text,true,,98739,391,44,44,https://www.amazon.com/,283,0,37
1605526783822,1715,Amazon HomePage,200,OK,Amazon_Thread group 1-11,text,true,,106366,391,45,45,https://www.amazon.com/,557,0,298
1605526784670,911,Amazon HomePage,200,OK,Amazon_Thread group 1-28,text,true,,98011,391,46,46,https://www.amazon.com/,295,0,40
1605526784770,892,Amazon HomePage,200,OK,Amazon_Thread group 1-30,text,true,,99638,391,47,47,https://www.amazon.com/,308,0,59
1605526784816,863,Amazon HomePage,200,OK,Amazon_Thread group 1-31,text,true,,98877,391,48,48,https://www.amazon.com/,276,0,28
1605526784067,1666,Amazon HomePage,200,OK,Amazon_Thread group 1-16,text,true,,95870,391,49,49,https://www.amazon.com/,311,0,53
1605526784870,874,Amazon HomePage,200,OK,Amazon_Thread group 1-32,text,true,,100773,391,49,49,https://www.amazon.com/,287,0,38
1605526784916,882,Amazon HomePage,200,OK,Amazon_Thread group 1-33,text,true,,105198,391,50,50,https://www.amazon.com/,298,0,51
1605526783971,1964,Amazon HomePage,200,OK,Amazon_Thread group 1-14,text,true,,97611,391,53,53,https://www.amazon.com/,408,0,149
1605526784959,1001,Today's Deals,200,OK,Amazon_Thread group 1-4,text,true,,109681,465,53,53,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,420,0,41
1605526784717,1264,Amazon HomePage,200,OK,Amazon_Thread group 1-29,text,true,,105224,391,54,54,https://www.amazon.com/,675,0,35
1605526784958,1058,Today's Deals,200,OK,Amazon_Thread group 1-8,text,true,,107358,465,54,54,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,421,0,42
1605526784800,1245,Today's Deals,200,OK,Amazon_Thread group 1-12,text,true,,109693,465,55,55,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,419,0,35
1605526784962,1121,Today's Deals,200,OK,Amazon_Thread group 1-6,text,true,,109117,465,56,56,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,418,0,42
1605526784964,1124,Today's Deals,200,OK,Amazon_Thread group 1-10,text,true,,107043,465,56,56,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,415,0,41
1605526785220,880,Amazon HomePage,200,OK,Amazon_Thread group 1-39,text,true,,100408,391,56,56,https://www.amazon.com/,291,0,37
1605526784970,1144,Amazon HomePage,200,OK,Amazon_Thread group 1-34,text,true,,98189,391,56,56,https://www.amazon.com/,686,0,45
1605526785270,875,Amazon HomePage,200,OK,Amazon_Thread group 1-40,text,true,,96843,391,57,57,https://www.amazon.com/,288,0,33
1605526785085,1068,Today's Deals,200,OK,Amazon_Thread group 1-19,text,true,,106844,465,57,57,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,423,0,35
1605526784959,1373,Today's Deals,200,OK,Amazon_Thread group 1-15,text,true,,106397,465,61,61,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,398,0,44
1605526785470,870,Amazon HomePage,200,OK,Amazon_Thread group 1-44,text,true,,97302,391,61,61,https://www.amazon.com/,285,0,40
1605526785340,1008,Today's Deals,200,OK,Amazon_Thread group 1-2,text,true,,109061,465,61,61,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,426,0,54
1605526785340,1024,Today's Deals,200,OK,Amazon_Thread group 1-9,text,true,,109583,465,61,61,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,426,0,51
1605526784952,1422,Today's Deals,200,OK,Amazon_Thread group 1-13,text,true,,122528,465,62,62,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,833,0,45
1605526785387,992,Today's Deals,200,OK,Amazon_Thread group 1-25,text,true,,106359,465,62,62,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,410,0,38
1605526785020,1362,Amazon HomePage,200,OK,Amazon_Thread group 1-35,text,true,,95001,391,62,62,https://www.amazon.com/,861,0,30
1605526785515,883,Amazon HomePage,200,OK,Amazon_Thread group 1-45,text,true,,98929,391,62,62,https://www.amazon.com/,297,0,52
1605526785116,1317,Amazon HomePage,200,OK,Amazon_Thread group 1-37,text,true,,106269,391,63,63,https://www.amazon.com/,341,0,98
1605526785570,863,Amazon HomePage,200,OK,Amazon_Thread group 1-46,text,true,,98440,391,63,63,https://www.amazon.com/,280,0,30
1605526785538,992,Today's Deals,200,OK,Amazon_Thread group 1-11,text,true,,107198,465,65,65,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,406,0,44
1605526785070,1465,Amazon HomePage,200,OK,Amazon_Thread group 1-36,text,true,,98129,391,65,65,https://www.amazon.com/,310,0,50
1605526784959,1578,Today's Deals,200,OK,Amazon_Thread group 1-7,text,true,,103393,465,65,65,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,420,0,41
1605526785670,882,Amazon HomePage,200,OK,Amazon_Thread group 1-48,text,true,,98668,391,65,65,https://www.amazon.com/,297,0,54
1605526785129,1462,Today's Deals,200,OK,Amazon_Thread group 1-20,text,true,,114627,465,66,66,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,873,0,96
1605526785723,875,Amazon HomePage,200,OK,Amazon_Thread group 1-49,text,true,,106795,391,66,66,https://www.amazon.com/,288,0,44
1605526785381,1278,Amazon HomePage,200,OK,Amazon_Thread group 1-42,text,true,,98474,391,67,67,https://www.amazon.com/,299,0,39
1605526785819,860,Amazon HomePage,200,OK,Amazon_Thread group 1-51,text,true,,99306,391,68,68,https://www.amazon.com/,274,0,36
1605526785447,1233,Today's Deals,200,OK,Amazon_Thread group 1-26,text,true,,107461,465,68,68,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,454,0,37
1605526785745,970,Today's Deals,200,OK,Amazon_Thread group 1-32,text,true,,110536,465,68,68,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,384,0,40
1605526785866,872,Amazon HomePage,200,OK,Amazon_Thread group 1-52,text,true,,96346,391,69,69,https://www.amazon.com/,287,0,38
1605526785399,1365,Today's Deals,200,OK,Amazon_Thread group 1-17,text,true,,115378,465,70,70,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,774,0,39
